base_appid,dlc_appid,name
1611430,2022750,The Bridge Curse Road to Salvation The art of game Book
674020,2015840,WW3 - Year 1 | Starter Pack
1868180,2015490,Etrian Odyssey HD Character Set DLC
1824220,1998240,Chivalry 2 - Special Edition Content
1917090,1997320,Lights Off! Donation
1515320,1989660,Harvest Days: My Dream Farm - Digital Supporter Pack
1798010,1981410,Mega Man Battle Network Legacy Collection Vol. 1 - Custom PET Pack Vol. 1
1844100,1978260,SPEARHEAD - FREE PAPER PACK
1681080,1978390,New Supper Banana! - Hat DLC
1808780,1963550,祖玛少女 18DLC
1928840,1960640,My Dragon Party - 18+ Adult Only Patch
1732060,1959150,Makai Kingdom: Reclaimed and Rebound - Digital Art Book
1732070,1959160,ZHP: Unlosing Ranger vs. Darkdeath Evilman - Digital Art Book
1602880,2320100,The Lord of the Parties x Rona
1596820,2317970,Monstrous Lovers Late Night Adult DLC
917940,2316360,LEMURIA - Fantasy Chapter
1949970,2401760,J-Jump Arena - VIP Upgrade
2362110,2397900,Abnormal puzzles Arts R18
2098120,2394360,You've been banished. - Additional Adult Story & Graphics DLC
2393810,2393850,Brutalball Supporter Pack - 10 Extra Races!
534250,2393450,Getting Freaky With Fujiki - 18+ Adult Only Content
2381710,2385640,Galactic Gluttony Artbook
2288660,2378020,Furry Reich 🐺 - Exclusive 18+ DLC
1729100,2371960,Chameleon - DYH: Chapter 2
773790,2365430,Ostriv - Patron of the Arts
3182330,3333910,Catboy Aim Trainer - Catboy Feet
2641490,3331820,Blood Running - Supporter Pack
1671720,3325670,Athenian Rhapsody - Artbook + Manual
2512930,3322970,Guardians of the Sanctree - Exclusive Launch Reward for Early Players—Our sincere thanks to those who supported us from day one.
1389900,3323110,大鹏 - The Roc 设定集
3292190,3316420,버튜버 파라노이아 - Vtuber Paranoia : 아트북
2825600,3301790,Teeny Tiny Trains - The Enchanted Attic
2942190,3446600,Hentai Class - Arts
2073450,3436710,A2C - Donation to Lord GabeN (and pudding)
3292410,3430980,转生魔塔 - 白金版拓展包
2330960,3412930,SMOKY WHITE ART BOOK
2116120,3405150,Incursion Red River - Supporter Edition
2943280,3404490,Dustland Delivery: Road Builder
3060200,3398190,Dogs - Developer Donation
1583850,3368680,Asleep - Ato 2
2884290,3363440,Frenzy Extinction - Season DLC
2916570,3362230,Golden Supporter Pack
1660080,3352580,Aloft - Supporter Pack
3331000,3350730,Retrowave 2 - Cash
1902250,2583850,Deadly Rain Artbook
1878210,2574890,Pirate Jam - Space DLC
1818660,2573970,Kalyskah: Erotic Content Unlocker
2341330,2571440,George's Nightmare
2568880,2570220,The Hardest Game Ever - Supporter Pack
1580180,2555280,Gunbrella - Digital Comic
2302870,2551770,Class Reunion Chat Room - Donation
1589300,2548600,LookForDanger-Chapter of Misfortune
1194160,2548080,One-Eyed Lee Prologue Digital Artbook
1638230,2543420,Xuan-Yuan Sword: Mists Beyond the Mountains (1999 Origin version)
1544120,2538050,Beat Survival - Expansion
1187190,2526660,The Knight of the Crimson Tower - An Unhelpful Guide
2513890,2520200,"The PenguinGame 2 -Lies of Penguin- ""GOD BAT"""
1353230,2518220,Bomb Rush Cyberfunk DLC - Base & Jay
1147560,2512790,Skul: The Hero Slayer - Mythology Pack
1509510,2511170,Settlement Survival - Tourism
2506460,2508830,Girls Rest - Artbook 18+
3016750,3217920,ERO TRAP DUNGEON ROGUELIKE - Costume DLC
1597980,3216560,City 20 - The Artbook
3196830,3212850,Boobs Hidden Los Angeles - Sexy Time
1586800,3205060,Lil Gator Game: In the Dark
1783280,3204010,Ghostlore Supporter Pack
2963550,3196490,Game Of Fate-4K
2831340,3175480,Rabbit Hole: The Art of Rabbit Hole
2669320,3170610,EA SPORTS FC™ 25 - FC Points
2280020,3167330,Lindwyrm - Strategyguide
1449620,3165560,Squirmish: Halloweenies 6-Card Booster Pack
2972300,3157060,Beauty Jigsaw - Image Pack
2519310,3155530, Zombie sanctuary: Ash - DLC
2812780,3288830,Enthralled - 4k Wallpaper pack
2644610,3280710,Menace from the Deep - Digital Artbook
1979320,2110360,Amber City - Art Book
1930640,2104360,Lost2-Patch
2098950,2100610,Southern Princesses - Artbook 18+
1995230,2099130,Chaotic Loop Skins
1783050,2095760,Project Vostok: 18+ Adult Only Content
1983670,2094940,Cosmopoly - Associate's DLC
1170080,2080350,Foretales - Artbook
1947750,2071930,Queen's Wish 2 Hintbook and Bonuses
2065330,2070910,Catto Pew Pew! - Coolest Catto DLC
1065520,2068070,Autobahn Police Simulator 3 - Off-Road
1825700,2062620,Push Battle - New Skin Pack
2058190,2060280,Lost Judgment - The Kaito Files Story Expansion
1982510,2058700,大戦略SSB - 竹島攻防戦セット
1995290,2056820,Picking Wheat - Uniform Cube
1934100,2056000,Ardor - Support the Dev!
1811040,2052820,South of the Circle: E-book - Eighty Two Nineteen
2009010,2022550,My Furry Protogen - 18+ Adult Only Patch
1870150,2016910,軒轅劍外傳雲之遙 典藏攻略畫冊
1650590,2016250,Nightmare Frames - Portrait artbook & OST
1975420,2009270,Othello: Daynight Time Clash - 18+ Expansion Pack
1147890,2008250,Bonfire Peaks - Lost Memories
1608040,2003680,Castle Morihisa: New Class - Miko
1972180,2003530,Dub Club - Customize Your Character
1080700,1999000,Swordbreaker: Origins - All Art DLC
1285560,1998090,Three kingdoms story: Conussia - Complete rework
1798020,1981420,Mega Man Battle Network Legacy Collection Vol. 2 - Custom PET Pack Vol. 2
1977900,1981475,Bonza Boom - Unlock The Whole Card Pool
1976160,1979600,Pixel Palette Creator: Tip Jar
1815010,1965220,Maid Knight Alicia - DLC
1806200,1962990,Scientifically Accurate Dinosaur Mating Simulator 2021: Ankylosauridae
1555650,1960290,Harlequin Fair - Harbour Dawn Expansion Campaign
1684750,2318390,I deserve a happy ending restricted section adult DLC
2262970,2316390,Elle – Extended Version
1946700,2402250,The Art of Layers of Fear
