appid,name,release_date,copiesSold
2661490,Magia y Demonios,Coming soon,15
2457210,Undershadows,To be announced,15
2832770,Argebe,To be announced,15
3154390,Neon Knights,Coming soon,15
3154390,Neon Knights,Coming soon,15
3215240,Probability Dungeon,Coming soon,15
3447610,Super Sakura Boom Boom Multiverse Madness Ultra Turbo Remix HD,Coming soon,15
3499440,Full Effect,Coming soon,15
3323830,Call from the darkness,Coming soon,15
3323830,Call from the darkness,Coming soon,15
3176790,Tesserarii,To be announced,15
3176790,Tesserarii,To be announced,15
3309460,Demon Knives,Coming soon,15
3370940,Erotic Fantasy Hentai Photographer,Coming soon,15
3497880,Gemmas Gauntlet,Coming soon,15
3450660,Opus Castle VR,Coming soon,15
2314070,Foto Boy: A New Job,Coming soon,15
3126300,Dream Chaser,Coming soon,15
2824960,Fracas,Coming soon,15
3451500,Car Guys,Coming soon,15
3357910,MOBA大乱斗,To be announced,15
3409680,Coffin Delivery,Coming soon,15
3426410,我就是建-I just build,Coming soon,15
3413660,Thalorian Arena,Coming soon,15
3274780,"Bike Park Simulator: BMX, Dirt Jump & MTB",Coming soon,15
3292920,Lucky Hand: Roguelike Deck Builder,Coming soon,15
3292920,Lucky Hand: Roguelike Deck Builder,Coming soon,15
3485540,Roofz Panda,Coming soon,15
3487880,Mariusz: the game,Coming soon,15
3487880,Mariusz: the game,Coming soon,15
1656870,Eastwind Adventures: Chapter 1,Coming soon,15
3205130,Regrets,Coming soon,15
2987160,Farming Isles,To be announced,15
3346740,Retro Soccer,Coming soon,15
3385350,Jaguar Suns,Coming soon,15
3358020,Olympus of the Heavens,Coming soon,15
3510330,单词农场,Coming soon,15
3289010,Xmas Surprise,To be announced,15
3289010,Xmas Surprise,To be announced,15
3405990,Bowling Simulator,Coming soon,15
2559140,GeoBoxer,Coming soon,15
2825090,Go! Save The Queen!,Coming soon,15
2841360,AIPet,Coming soon,15
2876960,Final Eden,Coming soon,15
3186640,Geometry Jump: Impossible Game,Coming soon,15
3304930,Retro Dungeon Slayer,Coming soon,15
3304930,Retro Dungeon Slayer,Coming soon,15
3310020,Top Burger Shop Simulator,Coming soon,15
3310020,Top Burger Shop Simulator,Coming soon,15
3424780,实至名归TCA2024（Yes or No?）,Coming soon,15
2947410,Fight after Dark,Coming soon,15
3462570,Tombs Of Myra,To be announced,15
3424870,The Throng,Coming soon,15
3156920,Retro Wave,Coming soon,15
3156920,Retro Wave,Coming soon,15
3313800,Zack in Fight,To be announced,15
3313800,Zack in Fight,To be announced,15
3292520,Grandma's In Hell,Coming soon,15
3332680,Enemy Territory Terrorists Takedown,Coming soon,15
3332680,Enemy Territory Terrorists Takedown,Coming soon,15
3486680,画剑Draw Sword,Coming soon,15
3486680,画剑Draw Sword,Coming soon,15
3270660,Sealand Sniper,Coming soon,15
3006650,Dino Jump,Coming soon,15
3328100,Bowlatro,Coming soon,15
3328100,Bowlatro,Coming soon,15
3389680,The Abandoned Crossroads,To be announced,15
3421480,Lizard Survival Duo,Coming soon,15
3484470,zu xing,Coming soon,15
3351290,Specter: The Battle of the Mind,Coming soon,15
1904380,Mortal Darkness,Coming soon,14
3471760,Aleprok,Coming soon,13
3215740,Wandshot,Coming soon,12
3398180,Hephep Fever : Retold,To be announced,12
3159310,Slime: The Cleaner,Coming soon,10
3159310,Slime: The Cleaner,Coming soon,10
3206980,Secret Agent Puzzle,Coming soon,9
1986560,Tilted Tennis,To be announced,9
3498620,Haze: Carnival Of Horror,Coming soon,9
2703970,Me and (My) Cat's Island,Coming soon,7
2803590,Montezuma's Revenge - Director's Cut,Coming soon,6
3379580,Lily And Sury - Adventures on Cristya,Coming soon,6
1807950,Time Flipper,To be announced,4
2421520,Cosmula,Coming soon,4
3484510,Equanimity,Coming soon,1
3361900,Quipu Runner: Warmi's Legacy,To be announced,1
2752790,Mortalis Meltdown,Coming soon,1
3459910,Evaluate,Coming soon,1
3487170,Semantics,Coming soon,1
3487170,Semantics,Coming soon,1
3179950,Off-balance: Balance Party Vol. 2,Coming soon,1
3179950,Off-balance: Balance Party Vol. 2,Coming soon,1
3459920,Fractious,Coming soon,1
3366700,Ultimate Penalty,Coming soon,1
2993370,Red Thread,Coming soon,1
2935260,Pluto Lost Its Colors,Coming soon,1
3201560,RENAI BAKUDAN,Coming soon,1
2988360,IsoMetro,Coming soon,1
3366170,Jirai the Red Panda,To be announced,1
3179490,FootballLife,Coming soon,1
3179490,FootballLife,Coming soon,1
2559880,Z Ops: DeadZone,Coming soon,1
3122670,Ferrous Digital Edition,Coming soon,1
3365130,Air Traffic Control,To be announced,1
3425970,Detective Club: Missing in the Fog Collector's Edition,Coming soon,1
2311060,Downward Spear,To be announced,1
2811750,Grimm's Folly,Coming soon,1
2902210,Esau's World,Coming soon,1
3225030,Sky Combat: WWII Warplane Races,Coming soon,1
3440490,Circus Saboteur,Coming soon,1
3422320,SAIKA,Coming soon,1
3445300,Full Spectrum Gradient,Coming soon,1
3302150,Karaoke Love Song,Coming soon,1
3302150,Karaoke Love Song,Coming soon,1
3290620,Pick My Heart Chapter 2,Coming soon,1
3290620,Pick My Heart Chapter 2,Coming soon,1
3424820,Frisson DT,Coming soon,1
3475020,Tales Of Miravia,Coming soon,1
2821600,Unnamed Arcade,Coming soon,1
3452370,AnderKant 3,Coming soon,1
3452370,AnderKant 3,Coming soon,1
3290610,Pick My Heart Chapter 1,Coming soon,1
3290610,Pick My Heart Chapter 1,Coming soon,1
3063510,ロジック麻雀 創龍,Coming soon,1
2074360,The Obsessive Shadow,Coming soon,1
2784550,Buck Swash and the Idol of Tak'Mahud,Coming soon,1
2723340,Dynamic destruction,To be announced,1
2821720,Banished Stone,To be announced,1
2906920,Eternal Fate: A Journey Begins,Coming soon,1
2919230,PHOTOBIA: Tales from the Dark,Coming soon,1
3014930,Wave Defense: Trappist,Coming soon,1
3106860,Oratorio,Coming soon,1
1595890,Traxion 3000,Coming soon,1
3287400,Drone Shooter,Coming soon,1
3287400,Drone Shooter,Coming soon,1
3331690,Static Paradox,Coming soon,1
3331690,Static Paradox,Coming soon,1
3396650,Who Made This,Coming soon,1
3429050,Stellar Shapers,Coming soon,1
3453840,Dead Spaceshot,Coming soon,1
3453840,Dead Spaceshot,Coming soon,1
3458750,Interstellar Escape,Coming soon,1
3458750,Interstellar Escape,Coming soon,1
3319660,The Berenstain Bears Get in a Fight,Coming soon,1
3319650,The Berenstain Bears In the Dark,Coming soon,1
3503970,Food GO! Simulator,Coming soon,1
3416300,Intelektronica,Coming soon,1
3043400,TerminalMaster,Coming soon,1
2978310,Mystic Gals,Coming soon,1
2963100,ErMa (Early Mammal),To be announced,1
3283720,The Righteous Scar,Coming soon,1
3283720,The Righteous Scar,Coming soon,1
3392730,Lifter,Coming soon,1
3399840,Double D. F.,Coming soon,1
3485880,哨兵骑士Sentinel Knights,Coming soon,1
3485880,哨兵骑士Sentinel Knights,Coming soon,1
2493030,Timo Boll Beats Table Tennis,Coming soon,1
2674200,Mills of Morris,Coming soon,1
3278120,Girls Kitchen Dinner,Coming soon,1
3107810,Stranded With Darkness,Coming soon,1
3190560,Acid Web,Coming soon,1
3447940,Metal Slugger Ops,Coming soon,1
3447940,Metal Slugger Ops,Coming soon,1
3433410,Powder Runners: Maze Quest,Coming soon,1
1347290,Splitfire,To be announced,1
2846000,Terunyan to Amanoiwato,Coming soon,1
3199740,Dimension Warrior,Coming soon,1
3172720,Kara Fantasy,Coming soon,1
3172720,Kara Fantasy,Coming soon,1
3288560,Forgotten Cave: Roguelite Dungeon Crawler,Coming soon,1
